id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
maker,mkr,Maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1585191826,1217.72,1096277197,42,1223097465,107547412,1241.35,1207.89,-16.373621953385964,-1.32678,-15417011.936614752,-1.3868,901310.9472893132,977631.036950888,1005577.0,6292.31,-80.69491,2021-05-03T21:54:29.333Z,168.36,621.52222,2020-03-16T20:52:36.527Z,,2023-08-16T09:57:25.633Z
optimism,op,Optimism,https://assets.coingecko.com/coins/images/25244/large/Optimism.png?1660904599,1.46,1050021917,43,6292386977,114713911,1.53,1.45,-0.05184558040089038,-3.42479,-33296858.323239803,-3.0736,716708907.0,4294967296.0,4294967296.0,3.22,-54.65053,2023-02-24T20:20:00.509Z,0.402159,263.46279,2022-06-18T20:54:52.178Z,,2023-08-16T09:57:27.835Z
rocket-pool-eth,reth,Rocket Pool ETH,https://assets.coingecko.com/coins/images/20764/large/reth.png?1637652366,1979.46,985408038,44,985408038,3334070,2002.67,1975.69,-21.244058334210877,-1.06183,-10553710.730891347,-1.05965,497951.713797544,497951.713797544,,4814.31,-58.88941,2021-12-01T08:03:50.749Z,887.26,123.06694,2022-06-18T20:55:45.957Z,,2023-08-16T09:57:28.175Z
the-graph,grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1608145566,0.101042,923024829,45,1011152027,59632924,0.107954,0.100116,-0.006912142899486011,-6.40286,-62431953.99609327,-6.33533,9128447594.24661,10000000000.0,,2.84,-96.44723,2021-02-12T07:28:45.775Z,0.052051,93.94817,2022-11-22T10:05:03.503Z,,2023-08-16T09:57:21.477Z
aave,aave,Aave,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1601374110,61.97,901508453,46,993425292,65513721,65.5,61.89,-3.530294821496881,-5.39003,-48320254.69173598,-5.08726,14519597.357286386,16000000.0,16000000.0,661.69,-90.6417,2021-05-18T21:19:59.514Z,26.02,137.95322,2020-11-05T09:20:11.928Z,,2023-08-16T09:57:24.778Z
xdce-crowd-sale,xdc,XDC Network,https://assets.coingecko.com/coins/images/2912/large/xdc-icon.png?1633700890,0.061762,857912629,47,2343847671,10527115,0.067239,0.059177,0.00189975,3.17354,28330066,3.41498,13856530218.45,37856531039.85,,0.192754,-67.78076,2021-08-21T04:39:48.324Z,0.00039532,15609.86071,2019-07-22T00:00:00.000Z,"{'times': 3.508864737261033, 'currency': 'eth', 'percentage': 350.8864737261033}",2023-08-16T09:57:20.213Z
whitebit,wbt,WhiteBIT Coin,https://assets.coingecko.com/coins/images/27045/large/wbt_token.png?1667923752,5.78,832134733,48,2309584500,5814362,5.78,5.64,0.13677,2.42469,19428327,2.39057,144118517.10815412,368808535.0,400000000.0,14.64,-60.58074,2022-10-28T12:32:18.119Z,3.06,88.54783,2023-02-13T19:01:21.899Z,,2023-08-16T09:56:53.807Z
algorand,algo,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1547039725,0.10547,825997827,49,1055493064,62261385,0.11382,0.105311,-0.008221998846752135,-7.23184,-61331862.66188359,-6.91196,7825705872.25731,7825705869.04029,10000000000.0,3.56,-97.04214,2019-06-20T14:51:19.480Z,0.098399,7.04814,2023-06-10T04:31:46.997Z,"{'times': -0.9560543328962586, 'currency': 'usd', 'percentage': -95.60543328962586}",2023-08-16T09:57:28.142Z
frax,frax,Frax,https://assets.coingecko.com/coins/images/13422/large/FRAX_icon.png?1679886922,0.996634,809873633,50,809873633,8013366,0.999208,0.995484,-0.00029124367024469,-0.02921,-1274216.4417489767,-0.15709,812641409.408784,812641409.408784,,1.14,-12.61165,2021-02-07T12:55:35.766Z,0.874536,13.95999,2023-03-11T07:50:39.316Z,,2023-08-16T09:57:28.153Z
kaspa,kas,Kaspa,https://assets.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1653891958,0.03918822,789209837,51,1122637126,14268231,0.04275828,0.03831441,4.966e-05,0.12687,1813668,0.23034,20178826809.7785,20178946502.9743,28704026601.0,0.051714,-24.22708,2023-08-06T12:10:40.416Z,0.00017105,22808.69435,2022-05-26T14:42:59.316Z,,2023-08-16T09:57:26.651Z
